Crop,QueryType,StateName
Lentil (Masur),	Plant Protection	,WEST BENGAL
Paddy (Dhan),	Plant Protection	,WEST BENGAL
Onion,	Plant Protection	,WEST BENGAL
Wheat,Cultural Practices,WEST BENGAL
Lentil (Masur),	Plant Protection	,WEST BENGAL
Paddy (Dhan),	Plant Protection	,WEST BENGAL
Paddy (Dhan),	Plant Protection	,WEST BENGAL
Mustard,	Plant Protection	,WEST BENGAL
Maize (Makka),Nutrient Management,WEST BENGAL
Potato,	Plant Protection	,WEST BENGAL
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Nutrient Management,WEST BENGAL
Paddy (Dhan),Nutrient Management,WEST BENGAL
Mango,Nutrient Management,WEST BENGAL
Mustard,Nutrient Management,WEST BENGAL
Others,Weather,WEST BENGAL
Others,Weed Management,WEST BENGAL
Mushroom,Credit,WEST BENGAL
Wheat,Nutrient Management,WEST BENGAL
Carrot,	Plant Protection	,WEST BENGAL
Ash Gourd (Petha),	Plant Protection	,WEST BENGAL
Goat,Animal Nutrition,WEST BENGAL
Groundnut (pea nut/mung phalli),	Plant Protection	,WEST BENGAL
Pea (Vegetable),Nutrient Management,WEST BENGAL
Lentil (Masur),	Plant Protection	,WEST BENGAL
Potato,	Plant Protection	,WEST BENGAL
Banana,	Plant Protection	,WEST BENGAL
Others,Government Schemes,WEST BENGAL
Paddy (Dhan),Government Schemes,WEST BENGAL
Paddy (Dhan),	Plant Protection	,WEST BENGAL
Others,Weather,WEST BENGAL
Paddy (Dhan),Nutrient Management,WEST BENGAL
Paddy (Dhan),	Plant Protection	,WEST BENGAL
Lentil (Masur),	Plant Protection	,WEST BENGAL
Litchi,	Plant Protection	,WEST BENGAL
Beans ,	Plant Protection	,WEST BENGAL
Beans ,	Plant Protection	,WEST BENGAL
Others,Weather,WEST BENGAL
Others,Weather,WEST BENGAL
Capsicum,Cultural Practices,WEST BENGAL
Paddy (Dhan),Government Schemes,WEST BENGAL
Brinjal,Cultural Practices,WEST BENGAL
Tomato,	Plant Protection	,WEST BENGAL
Bitter Gourd,	Plant Protection	,WEST BENGAL
Others,Government Schemes,WEST BENGAL
Others,Weather,WEST BENGAL
Lentil (Masur),Nutrient Management,WEST BENGAL
Mango,	Plant Protection	,WEST BENGAL
Others,Weather,WEST BENGAL
Others,Weather,WEST BENGAL
Others,Weather,WEST BENGAL
Paddy (Dhan),	Plant Protection	,WEST BENGAL
Banana,	Plant Protection	,WEST BENGAL
Paddy (Dhan),	Plant Protection	,WEST BENGAL
Paddy (Dhan),Nutrient Management,WEST BENGAL
Lentil (Masur),	Plant Protection	,WEST BENGAL
Lentil (Masur),	Plant Protection	,WEST BENGAL
Brinjal,Government Schemes,WEST BENGAL
Others,Weather,WEST BENGAL
Others,Weather,WEST BENGAL
Carrot,	Plant Protection	,WEST BENGAL
Paddy (Dhan),	Plant Protection	,WEST BENGAL
Paddy (Dhan),Credit,WEST BENGAL
Paddy (Dhan),	Plant Protection	,WEST BENGAL
Bitter Gourd,	Plant Protection	,WEST BENGAL
Cauliflower,	Plant Protection	,WEST BENGAL
Betel Vine,	Plant Protection	,WEST BENGAL
Betel Vine,	Plant Protection	,WEST BENGAL
Paddy (Dhan),Cultural Practices,WEST BENGAL
Tomato,	Plant Protection	,WEST BENGAL
Paddy (Dhan),	Plant Protection	,WEST BENGAL
Paddy (Dhan),	Plant Protection	,WEST BENGAL
Potato,	Plant Protection	,WEST BENGAL
Paddy (Dhan),Fertilizer Use and Availability,WEST BENGAL
Lentil (Masur),	Plant Protection	,WEST BENGAL
Lentil (Masur),	Plant Protection	,WEST BENGAL
Amaranthus/Grain Amaranthus,Seeds and Planting Material,WEST BENGAL
Potato,	Plant Protection	,WEST BENGAL
Potato,Nutrient Management,WEST BENGAL
Others,Weather,WEST BENGAL
Mango,	Plant Protection	,WEST BENGAL
Potato,	Plant Protection	,WEST BENGAL
Potato,Cultural Practices,WEST BENGAL
Banana,	Plant Protection	,WEST BENGAL
Bhindi(Okra/Ladysfinger),Seeds and Planting Material,WEST BENGAL
Others,Credit,WEST BENGAL
Maize (Makka),	Plant Protection	,WEST BENGAL
Others,Weather,WEST BENGAL
Paddy (Dhan),Government Schemes,WEST BENGAL
Banana,	Plant Protection	,WEST BENGAL
Jack Fruit,	Plant Protection	,WEST BENGAL
Wheat,	Plant Protection	,WEST BENGAL
Maize (Makka),	Plant Protection	,WEST BENGAL
Others,Weather,WEST BENGAL
Lentil (Masur),Nutrient Management,WEST BENGAL
Sapota,Nutrient Management,WEST BENGAL
Others,Weather,WEST BENGAL
Others,Weather,WEST BENGAL
Potato,	Plant Protection	,WEST BENGAL
Paddy (Dhan),	Plant Protection	,WEST BENGAL
Lentil (Masur),Nutrient Management,WEST BENGAL
Carrot,	Plant Protection	,WEST BENGAL
Others,	Plant Protection	,WEST BENGAL
Lentil (Masur),	Plant Protection	,WEST BENGAL
Paddy (Dhan),	Plant Protection	,WEST BENGAL
Onion,"Water Management, Micro Irrigation",WEST BENGAL
Onion,Fertilizer Use and Availability,WEST BENGAL
Paddy (Dhan),Nutrient Management,WEST BENGAL
Maize (Makka),	Plant Protection	,WEST BENGAL
Maize (Makka),	Plant Protection	,WEST BENGAL
Bottle Gourd ,	Plant Protection	,WEST BENGAL
"Bovine(Cow,Buffalo)",Dairy Production,WEST BENGAL
Citrus,	Plant Protection	,WEST BENGAL
Lentil (Masur),Nutrient Management,WEST BENGAL
Paddy (Dhan),Nutrient Management,WEST BENGAL
Lentil (Masur),	Plant Protection	,WEST BENGAL
Potato,Cultural Practices,WEST BENGAL
Potato,Nutrient Management,WEST BENGAL
Lentil (Masur),	Plant Protection	,WEST BENGAL
Paddy (Dhan),	Plant Protection	,WEST BENGAL
Mustard,	Plant Protection	,WEST BENGAL
Others,Weather,WEST BENGAL
Wheat,Nutrient Management,WEST BENGAL
Paddy (Dhan),Government Schemes,WEST BENGAL
Capsicum,	Plant Protection	,WEST BENGAL
Lab Lab,	Plant Protection	,WEST BENGAL
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Nutrient Management,WEST BENGAL
Mustard,Fertilizer Use and Availability,WEST BENGAL
Mango,	Plant Protection	,WEST BENGAL
