index,Sector,Category,Crop,QueryType,StateName,DistrictName
0,AGRICULTURE,Pulses,Lentil (Masur),	Plant Protection	,WEST BENGAL,MALDAH
1,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,MALDAH
2,HORTICULTURE,Vegetables,Onion,	Plant Protection	,WEST BENGAL,MALDAH
3,AGRICULTURE,Cereals,Wheat,Cultural Practices,WEST BENGAL,MALDAH
4,AGRICULTURE,Pulses,Lentil (Masur),	Plant Protection	,WEST BENGAL,MALDAH
5,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,MALDAH
6,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,MALDAH
7,AGRICULTURE,Oilseeds,Mustard,	Plant Protection	,WEST BENGAL,MALDAH
8,AGRICULTURE,Millets,Maize (Makka),Nutrient Management,WEST BENGAL,MALDAH
9,HORTICULTURE,Vegetables,Potato,	Plant Protection	,WEST BENGAL,MALDAH
10,AGRICULTURE,Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Nutrient Management,WEST BENGAL,MALDAH
11,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,WEST BENGAL,MALDAH
12,HORTICULTURE,Fruits,Mango,Nutrient Management,WEST BENGAL,MALDAH
13,AGRICULTURE,Oilseeds,Mustard,Nutrient Management,WEST BENGAL,MALDAH
14,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
15,AGRICULTURE,Others,Others,Weed Management,WEST BENGAL,MALDAH
16,HORTICULTURE,Vegetables,Mushroom,Credit,WEST BENGAL,MALDAH
17,AGRICULTURE,Cereals,Wheat,Nutrient Management,WEST BENGAL,MALDAH
18,HORTICULTURE,Vegetables,Carrot,	Plant Protection	,WEST BENGAL,MALDAH
19,HORTICULTURE,Vegetables,Ash Gourd (Petha),	Plant Protection	,WEST BENGAL,MALDAH
20,ANIMAL HUSBANDRY,Animal,Goat,Animal Nutrition,WEST BENGAL,MALDAH
21,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),	Plant Protection	,WEST BENGAL,MALDAH
22,HORTICULTURE,Vegetables,Pea (Vegetable),Nutrient Management,WEST BENGAL,MALDAH
23,AGRICULTURE,Pulses,Lentil (Masur),	Plant Protection	,WEST BENGAL,MALDAH
24,HORTICULTURE,Vegetables,Potato,	Plant Protection	,WEST BENGAL,MALDAH
25,HORTICULTURE,Fruits,Banana,	Plant Protection	,WEST BENGAL,MALDAH
26,AGRICULTURE,Others,Others,Government Schemes,WEST BENGAL,MALDAH
27,AGRICULTURE,Cereals,Paddy (Dhan),Government Schemes,WEST BENGAL,MALDAH
28,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,MALDAH
29,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
30,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,WEST BENGAL,MALDAH
31,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,MALDAH
32,AGRICULTURE,Pulses,Lentil (Masur),	Plant Protection	,WEST BENGAL,MALDAH
33,HORTICULTURE,Fruits,Litchi,	Plant Protection	,WEST BENGAL,MALDAH
