"Season","Sector","Category","Crop","QueryType","StateName","DistrictName","BlockName","CreatedOn"
"0","AGRICULTURE","Pulses","Lentil (Masur)","	Plant Protection	","WEST BENGAL","MALDAH","HARISHCHANDRAPUR-I","2019-01-01T07:16:15.193"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WEST BENGAL","MALDAH","GAZOLE","2019-01-01T09:29:42.393"
"0","HORTICULTURE","Vegetables","Onion","	Plant Protection	","WEST BENGAL","MALDAH","OLD MALDA","2019-01-01T11:01:20.85"
"0","AGRICULTURE","Cereals","Wheat","Cultural Practices","WEST BENGAL","MALDAH","OLD MALDA","2019-01-01T11:08:03.63"
"0","AGRICULTURE","Pulses","Lentil (Masur)","	Plant Protection	","WEST BENGAL","MALDAH","GAZOLE","2019-01-01T11:16:07.63"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WEST BENGAL","MALDAH","GAZOLE","2019-01-01T11:33:50.99"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WEST BENGAL","MALDAH","GAZOLE","2019-01-01T11:35:56.09"
"0","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","WEST BENGAL","MALDAH","HARISHCHANDRAPUR-I","2019-01-01T13:02:12.23"
"0","AGRICULTURE","Millets","Maize (Makka)","Nutrient Management","WEST BENGAL","MALDAH","HARISHCHANDRAPUR-I","2019-01-01T15:39:26.767"
"0","HORTICULTURE","Vegetables","Potato","	Plant Protection	","WEST BENGAL","MALDAH","GAZOLE","2019-01-01T16:24:25.503"
"0","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Nutrient Management","WEST BENGAL","MALDAH","HABIBPUR","2019-01-02T09:06:08.92"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","WEST BENGAL","MALDAH","GAZOLE","2019-01-02T09:16:08.627"
"0","HORTICULTURE","Fruits","Mango","Nutrient Management","WEST BENGAL","MALDAH","GAZOLE","2019-01-02T10:00:37.613"
"0","AGRICULTURE","Oilseeds","Mustard","Nutrient Management","WEST BENGAL","MALDAH","KALIACHAK-III","2019-01-02T10:50:54.847"
"0","AGRICULTURE","Others","Others","Weather","WEST BENGAL","MALDAH","HARISHCHANDRAPUR-I","2019-01-02T11:29:21.363"
"0","AGRICULTURE","Others","Others","Weed Management","WEST BENGAL","MALDAH","HARISHCHANDRAPUR-I","2019-01-02T11:32:11.97"
"0","HORTICULTURE","Vegetables","Mushroom","Credit","WEST BENGAL","MALDAH","HARISHCHANDRAPUR-II","2019-01-02T11:44:31.093"
"0","AGRICULTURE","Cereals","Wheat","Nutrient Management","WEST BENGAL","MALDAH","OLD MALDA","2019-01-02T14:31:05.173"
"0","HORTICULTURE","Vegetables","Carrot","	Plant Protection	","WEST BENGAL","MALDAH","KALIACHAK-III","2019-01-02T17:33:52.117"
