"Season","Sector","Category","Crop","QueryType","StateName","DistrictName","BlockName","CreatedOn"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WEST BENGAL","BANKURA","INDUS","2019-01-01T07:47:26.603"
"0","AGRICULTURE","Others","Others","Weather","WEST BENGAL","BANKURA","SARENGA","2019-01-01T09:33:10.89"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","Credit","WEST BENGAL","BANKURA","GANGAJAL GHATI","2019-01-01T10:01:43.037"
"0","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","WEST BENGAL","BANKURA","RAIPUR-I","2019-01-01T11:46:33.877"
"0","HORTICULTURE","Vegetables","Potato","Weather","WEST BENGAL","BANKURA","PATRASAYER","2019-01-01T11:55:07.95"
"0","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Weed Management","WEST BENGAL","BANKURA","RAIPUR-I","2019-01-01T12:16:03.727"
"0","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","WEST BENGAL","BANKURA","CHHATNA","2019-01-01T14:22:17.3"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WEST BENGAL","BANKURA","SONAMUKHI","2019-01-01T15:03:18.373"
"0","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","WEST BENGAL","BANKURA","SARENGA","2019-01-01T15:56:16.103"
"0","AGRICULTURE","Others","Others","Weather","WEST BENGAL","BANKURA","VISHNUPUR","2019-01-01T17:49:55.403"
"0","AGRICULTURE","Others","Others","Weather","WEST BENGAL","BANKURA","VISHNUPUR","2019-01-01T18:48:06.697"
"0","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","WEST BENGAL","BANKURA","ONDA","2019-01-01T20:26:06.55"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","WEST BENGAL","BANKURA","SIMLAPAL","2019-01-02T10:40:18.67"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WEST BENGAL","BANKURA","SONAMUKHI","2019-01-02T11:43:35.09"
"0","AGRICULTURE","Others","Others","Cultural Practices","WEST BENGAL","BANKURA","VISHNUPUR","2019-01-02T11:51:28.4"
"0","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","WEST BENGAL","BANKURA","SARENGA","2019-01-02T12:16:04.717"
"0","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","WEST BENGAL","BANKURA","VISHNUPUR","2019-01-02T13:11:35.14"
"0","HORTICULTURE","Vegetables","Tomato","Seeds and Planting Material","WEST BENGAL","BANKURA","VISHNUPUR","2019-01-02T13:15:28.037"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WEST BENGAL","BANKURA","INDUS","2019-01-02T15:31:07.713"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","WEST BENGAL","BANKURA","PATRASAYER","2019-01-02T15:49:38.437"
"0","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","WEST BENGAL","BANKURA","VISHNUPUR","2019-01-02T16:06:14.607"
"0","HORTICULTURE","Vegetables","Potato","Nutrient Management","WEST BENGAL","BANKURA","INDUS","2019-01-02T16:23:41.527"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","WEST BENGAL","BANKURA","PATRASAYER","2019-01-02T17:29:37.72"
"0","HORTICULTURE","Vegetables","Potato","	Plant Protection	","WEST BENGAL","BANKURA","SONAMUKHI","2019-01-02T17:47:23.43"
"0","HORTICULTURE","Vegetables","Potato","Nutrient Management","WEST BENGAL","BANKURA","ONDA","2019-01-02T17:51:25.73"
"0","AGRICULTURE","Others","Others","Weather","WEST BENGAL","BANKURA","VISHNUPUR","2019-01-02T17:52:28.35"
"0","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","WEST BENGAL","BANKURA","ONDA","2019-01-02T17:54:36.38"
"0","AGRICULTURE","Others","Others","Weather","WEST BENGAL","BANKURA","ONDA","2019-01-02T18:35:17.887"
"0","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","WEST BENGAL","BANKURA","BANKURA-I","2019-01-02T18:45:39.4"
