"Season","Sector","Category","Crop","QueryType","StateName","DistrictName","BlockName","CreatedOn"
"0","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ANDHRA PRADESH","WEST GODAVARI","LINGAPALEM","2019-01-01T10:21:30.56"
"0","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ANDHRA PRADESH","WEST GODAVARI","KOYYALAGUDEM","2019-01-01T20:10:19.86"
"0","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","ANDHRA PRADESH","WEST GODAVARI","LINGAPALEM","2019-01-02T08:33:09.32"
"0","HORTICULTURE","Fruits","Sapota","Nutrient Management","ANDHRA PRADESH","WEST GODAVARI","PEDAPADU","2019-01-02T09:36:41.547"
"0","HORTICULTURE","Plantation Crops","Cashew","	Plant Protection	","ANDHRA PRADESH","WEST GODAVARI","CHINTALAPUDI","2019-01-02T12:33:15.74"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","WEST GODAVARI","NALLAJERLA","2019-01-02T12:56:33.977"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","WEST GODAVARI","KOVVUR","2019-01-02T13:25:20.287"
"0","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","ANDHRA PRADESH","WEST GODAVARI","LINGAPALEM","2019-01-02T13:33:30.557"
"0","AGRICULTURE","Others","0","Weather","ANDHRA PRADESH","WEST GODAVARI","LINGAPALEM","2019-01-02T13:34:24.783"
"0","AGRICULTURE","Millets","Maize (Makka)","Weed Management","ANDHRA PRADESH","WEST GODAVARI","PEDAVEGI","2019-01-02T14:38:22.51"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ANDHRA PRADESH","WEST GODAVARI","GANAPAVARAM","2019-01-02T16:15:10.15"
"0","HORTICULTURE","Vegetables","Chillies","Nutrient Management","ANDHRA PRADESH","WEST GODAVARI","LINGAPALEM","2019-01-02T16:17:50.223"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","WEST GODAVARI","DWARAKATIRUMALA","2019-01-02T16:44:55.507"
"0","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","Nutrient Management","ANDHRA PRADESH","WEST GODAVARI","PEDAPADU","2019-01-02T17:00:26.267"
"0","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","ANDHRA PRADESH","WEST GODAVARI","CHAGALLU","2019-01-02T17:14:25.077"
"0","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ANDHRA PRADESH","WEST GODAVARI","BUTTAYAGUDEM","2019-01-03T07:45:15.053"
"0","HORTICULTURE","Vegetables","Chillies","Nutrient Management","ANDHRA PRADESH","WEST GODAVARI","BUTTAYAGUDEM","2019-01-03T07:52:31.113"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","WEST GODAVARI","NIDADAVOLE","2019-01-03T10:00:42.39"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","WEST GODAVARI","NIDADAVOLE","2019-01-03T10:00:58.27"
"0","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ANDHRA PRADESH","WEST GODAVARI","JANGAREDDIGUDEM","2019-01-03T11:38:21.573"
"0","HORTICULTURE","Fruits","Mango","	Plant Protection	","ANDHRA PRADESH","WEST GODAVARI","LINGAPALEM","2019-01-03T12:36:37.643"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","WEST GODAVARI","BHIMADOLE","2019-01-03T15:02:30.66"
"0","AGRICULTURE","Millets","Maize (Makka)","Weed Management","ANDHRA PRADESH","WEST GODAVARI","PEDAVEGI","2019-01-03T15:08:29.107"
"0","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ANDHRA PRADESH","WEST GODAVARI","LINGAPALEM","2019-01-03T17:33:15.59"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","ANDHRA PRADESH","WEST GODAVARI","PENTAPADU","2019-01-04T08:57:14.043"
"0","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","ANDHRA PRADESH","WEST GODAVARI","LINGAPALEM","2019-01-04T09:35:34.677"
"0","AGRICULTURE","Millets","Maize (Makka)","Nutrient Management","ANDHRA PRADESH","WEST GODAVARI","LINGAPALEM","2019-01-04T09:44:43.98"
"0","AGRICULTURE","Millets","Maize (Makka)","Weed Management","ANDHRA PRADESH","WEST GODAVARI","PEDAVEGI","2019-01-04T10:35:21.273"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","WEST GODAVARI","LINGAPALEM","2019-01-04T11:08:36.097"
"0","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","ANDHRA PRADESH","WEST GODAVARI","DWARAKATIRUMALA","2019-01-04T11:24:50.007"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","WEST GODAVARI","T.NARASAPURAM","2019-01-04T12:47:32.983"
"0","HORTICULTURE","Fruits","Banana","Nutrient Management","ANDHRA PRADESH","WEST GODAVARI","T.NARASAPURAM","2019-01-04T12:50:53.68"
"0","HORTICULTURE","Plantation Crops","Cashew","	Plant Protection	","ANDHRA PRADESH","WEST GODAVARI","GOPALAPURAM","2019-01-04T13:10:15.59"
"0","HORTICULTURE","Vegetables","Brinjal","Cultural Practices","ANDHRA PRADESH","WEST GODAVARI","LINGAPALEM","2019-01-04T13:15:57.86"
"0","HORTICULTURE","Plantation Crops","Oil palm","Fertilizer Use and Availability","ANDHRA PRADESH","WEST GODAVARI","CHAGALLU","2019-01-04T13:36:49.297"
"0","HORTICULTURE","Plantation Crops","Oil palm","Seeds and Planting Material","ANDHRA PRADESH","WEST GODAVARI","CHAGALLU","2019-01-04T13:48:26.893"
"0","AGRICULTURE","Millets","Maize (Makka)","Nutrient Management","ANDHRA PRADESH","WEST GODAVARI","DWARAKATIRUMALA","2019-01-04T15:13:10.68"
"0","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","ANDHRA PRADESH","WEST GODAVARI","THALLAPUDI","2019-01-04T15:39:13.477"
"0","AGRICULTURE","Millets","Maize (Makka)","Weed Management","ANDHRA PRADESH","WEST GODAVARI","PEDAVEGI","2019-01-04T15:54:24.27"
"0","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ANDHRA PRADESH","WEST GODAVARI","BUTTAYAGUDEM","2019-01-04T16:15:11.917"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","ANDHRA PRADESH","WEST GODAVARI","GANAPAVARAM","2019-01-04T16:49:25.02"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","WEST GODAVARI","PEDAVEGI","2019-01-04T17:26:26.733"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","WEST GODAVARI","NALLAJERLA","2019-01-04T17:26:39.43"
