"Season","Sector","Category","Crop","QueryType","StateName","DistrictName","BlockName","CreatedOn"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","AMBALA-II","2019-01-01T07:15:27.63"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","AMBALA-I","2019-01-01T09:32:31.343"
"0","AGRICULTURE","Others","0","Weather","HARYANA","AMBALA","AMBALA-II","2019-01-01T09:41:58.647"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","AMBALA-I","2019-01-01T10:28:19.067"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","NARAINGARH","2019-01-01T11:09:22.553"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","AMBALA-II","2019-01-01T11:34:47.45"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","AMBALA-I","2019-01-01T12:07:26.983"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","BARARA","2019-01-01T12:24:04.34"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","BARARA","2019-01-01T12:25:03.12"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","AMBALA-I","2019-01-01T12:39:41.933"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","AMBALA-I","2019-01-01T12:40:07.657"
"0","AGRICULTURE","0","0","0","HARYANA","AMBALA","AMBALA-I","2019-01-01T12:40:22.9"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","NARAINGARH","2019-01-01T12:43:12.083"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","AMBALA-I","2019-01-01T12:51:18.203"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","BARARA","2019-01-01T13:01:44.647"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","AMBALA-I","2019-01-01T13:03:06.707"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","NARAINGARH","2019-01-01T13:12:24.027"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","NARAINGARH","2019-01-01T13:18:17.98"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","AMBALA-I","2019-01-01T13:23:42.73"
"0","HORTICULTURE","Vegetables","Potato","	Plant Protection	","HARYANA","AMBALA","BARARA","2019-01-01T13:37:00.653"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","NARAINGARH","2019-01-01T13:37:29.623"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","SAHA","2019-01-01T13:42:14.47"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","SAHA","2019-01-01T13:44:22.36"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","AMBALA-I","2019-01-01T13:57:50.627"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","NARAINGARH","2019-01-01T14:06:55.22"
"0","AGRICULTURE","Others","Others","Government Schemes","HARYANA","AMBALA","SHAHZADPUR","2019-01-01T14:20:32.933"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","NARAINGARH","2019-01-01T14:28:45.82"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","NARAINGARH","2019-01-01T14:28:59.203"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","NARAINGARH","2019-01-01T14:52:49.9"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","AMBALA-I","2019-01-01T15:22:08.847"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","AMBALA-I","2019-01-01T15:43:56.527"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","NARAINGARH","2019-01-01T15:44:54.2"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","AMBALA-I","2019-01-01T16:09:34.993"
"0","AGRICULTURE","Others","0","Weather","HARYANA","AMBALA","AMBALA-I","2019-01-01T16:12:40.2"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","NARAINGARH","2019-01-01T16:31:01.53"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","BARARA","2019-01-01T16:34:26.253"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","NARAINGARH","2019-01-01T16:36:41.9"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","NARAINGARH","2019-01-01T16:52:53.407"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","Training and Exposure Visits","HARYANA","AMBALA","AMBALA-II","2019-01-01T17:24:01.693"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","AMBALA-I","2019-01-01T18:13:16.917"
"0","AGRICULTURE","Others","Others","Government Schemes","HARYANA","AMBALA","BARARA","2019-01-01T18:49:37.413"
"0","HORTICULTURE","Vegetables","Potato","	Plant Protection	","HARYANA","AMBALA","AMBALA-I","2019-01-01T19:35:10.987"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","AMBALA-I","2019-01-01T19:44:40.677"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","SAHA","2019-01-01T20:04:53.597"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","SAHA","2019-01-01T20:09:13.717"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","AMBALA-I","2019-01-01T20:10:26.943"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","SAHA","2019-01-02T07:32:14.267"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","BARARA","2019-01-02T08:13:37.27"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","BARARA","2019-01-02T08:20:02.16"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","NARAINGARH","2019-01-02T09:29:26.27"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","SHAHZADPUR","2019-01-02T09:40:28.813"
"0","AGRICULTURE","Cereals","Wheat","Weed Management","HARYANA","AMBALA","SAHA","2019-01-02T10:14:08.237"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","NARAINGARH","2019-01-02T10:29:43.05"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","SAHA","2019-01-02T10:31:28.26"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","SHAHZADPUR","2019-01-02T10:39:46.5"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","NARAINGARH","2019-01-02T11:15:07.327"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","AMBALA-I","2019-01-02T11:42:00.02"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","SAHA","2019-01-02T12:19:49.593"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","AMBALA-I","2019-01-02T12:39:47.01"
"0","AGRICULTURE","Cereals","Wheat","Bio-Pesticides and Bio-Fertilizers","HARYANA","AMBALA","NARAINGARH","2019-01-02T13:03:34.31"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","NARAINGARH","2019-01-02T13:10:36.81"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","NARAINGARH","2019-01-02T14:18:50.82"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","NARAINGARH","2019-01-02T15:34:00.8"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","NARAINGARH","2019-01-02T16:17:05.217"
"0","AGRICULTURE","Cereals","Wheat","	Plant Protection	","HARYANA","AMBALA","AMBALA-I","2019-01-02T16:28:44.5"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","AMBALA-I","2019-01-02T16:37:29.62"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","AMBALA-I","2019-01-02T16:39:46.327"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","BARARA","2019-01-02T16:46:39.483"
"0","AGRICULTURE","Cereals","Wheat","Nutrient Management","HARYANA","AMBALA","AMBALA-I","2019-01-02T16:57:27.377"
"0","AGRICULTURE","Cereals","Wheat","Bio-Pesticides and Bio-Fertilizers","HARYANA","AMBALA","AMBALA-I","2019-01-02T17:24:45.21"
"0","AGRICULTURE","Cereals","Wheat","Nutrient Management","HARYANA","AMBALA","NARAINGARH","2019-01-02T17:50:37.573"
"0","AGRICULTURE","Fodder Crops","Barseem","Nutrient Management","HARYANA","AMBALA","NARAINGARH","2019-01-02T18:03:15.107"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","NARAINGARH","2019-01-02T18:16:11.97"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","NARAINGARH","2019-01-02T18:19:25.083"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","NARAINGARH","2019-01-02T18:23:44.22"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","AMBALA-I","2019-01-02T19:29:19.373"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","AMBALA-I","2019-01-02T19:52:08.627"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","AMBALA","AMBALA-I","2019-01-02T21:48:37.5"
"0","AGRICULTURE","Cereals","Wheat","	Plant Protection	","HARYANA","AMBALA","BARARA","2019-01-03T09:01:54.873"
