"Season","Sector","Category","Crop","QueryType","StateName","DistrictName","BlockName","CreatedOn"
"0","AGRICULTURE","Others","Others","Weather","MAHARASHTRA","SOLAPUR","SOLAPUR NORTH","2019-01-01T06:41:04.15"
"0","AGRICULTURE","Others","0","Weather","MAHARASHTRA","SOLAPUR","MOHOL","2019-01-01T07:26:51.263"
"0","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","MAHARASHTRA","SOLAPUR","MANGALVEDHE","2019-01-01T07:42:49.353"
"0","AGRICULTURE","Others","Others","Weather","MAHARASHTRA","SOLAPUR","MADHA","2019-01-01T08:11:31.267"
"0","AGRICULTURE","Others","Others","Weather","MAHARASHTRA","SOLAPUR","AKKALKOT","2019-01-01T09:30:11.8"
"0","AGRICULTURE","Others","Others","Weather","MAHARASHTRA","SOLAPUR","MOHOL","2019-01-01T09:50:29.853"
"0","AGRICULTURE","Vegetables","Onion","Market Information","MAHARASHTRA","SOLAPUR","PANDHARPUR","2019-01-01T10:02:56.153"
"0","HORTICULTURE","Fruits","Banana","	Plant Protection	","MAHARASHTRA","SOLAPUR","KARMALA","2019-01-01T10:08:42.34"
"0","HORTICULTURE","Fruits","Grape","	Plant Protection	","MAHARASHTRA","SOLAPUR","BARSHI","2019-01-01T10:22:00.747"
"0","HORTICULTURE","Fruits","Musk Melon","	Plant Protection	","MAHARASHTRA","SOLAPUR","MANGALVEDHE","2019-01-01T10:24:01.54"
"0","HORTICULTURE","Fruits","Musk Melon","	Plant Protection	","MAHARASHTRA","SOLAPUR","MANGALVEDHE","2019-01-01T10:39:37.773"
"0","AGRICULTURE","Others","Others","Weather","MAHARASHTRA","SOLAPUR","MOHOL","2019-01-01T11:33:48.95"
"0","AGRICULTURE","Others","Others","Weather","MAHARASHTRA","SOLAPUR","PANDHARPUR","2019-01-01T11:40:19.19"
"0","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","MAHARASHTRA","SOLAPUR","BARSHI","2019-01-01T11:48:35.73"
"0","AGRICULTURE","Others","Others","Weather","MAHARASHTRA","SOLAPUR","SANGOLA","2019-01-01T12:15:17.067"
"0","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Fertilizer Use and Availability","MAHARASHTRA","SOLAPUR","MOHOL","2019-01-01T12:54:03.24"
"0","AGRICULTURE","Others","0","Weather","MAHARASHTRA","SOLAPUR","MADHA","2019-01-01T13:20:54.513"
"0","AGRICULTURE","Cereals","Wheat","	Plant Protection	","MAHARASHTRA","SOLAPUR","KARMALA","2019-01-01T13:21:30.83"
"0","AGRICULTURE","Others","Others","Weather","MAHARASHTRA","SOLAPUR","SOLAPUR NORTH","2019-01-01T13:23:18.863"
"0","AGRICULTURE","Others","Others","Government Schemes","MAHARASHTRA","SOLAPUR","MADHA","2019-01-01T13:32:04.64"
"0","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Fertilizer Use and Availability","MAHARASHTRA","SOLAPUR","MADHA","2019-01-01T13:38:07.377"
"0","AGRICULTURE","Others","Others","Government Schemes","MAHARASHTRA","SOLAPUR","SOLAPUR NORTH","2019-01-01T13:44:26.697"
"0","AGRICULTURE","Others","Others","Market Information","MAHARASHTRA","SOLAPUR","SOLAPUR NORTH","2019-01-01T13:50:55.5"
"0","AGRICULTURE","Others","Others","Weather","MAHARASHTRA","SOLAPUR","PANDHARPUR","2019-01-01T13:53:59.007"
"0","AGRICULTURE","Others","Others","Weather","MAHARASHTRA","SOLAPUR","MALSHIRAS","2019-01-01T14:18:36.703"
"0","AGRICULTURE","Others","Others","Government Schemes","MAHARASHTRA","SOLAPUR","PANDHARPUR","2019-01-01T14:31:54.86"
"0","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Fertilizer Use and Availability","MAHARASHTRA","SOLAPUR","SOLAPUR NORTH","2019-01-01T14:48:19.953"
"0","HORTICULTURE","Vegetables","Onion","Market Information","MAHARASHTRA","SOLAPUR","BARSHI","2019-01-01T14:54:58.447"
"0","AGRICULTURE","Others","Others","Weather","MAHARASHTRA","SOLAPUR","AKKALKOT","2019-01-01T15:00:54.087"
"0","AGRICULTURE","Others","Others","Government Schemes","MAHARASHTRA","SOLAPUR","MANGALVEDHE","2019-01-01T15:27:03.88"
"0","HORTICULTURE","Fruits","Papaya","	Plant Protection	","MAHARASHTRA","SOLAPUR","BARSHI","2019-01-01T15:39:07.997"
"0","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Nutrient Management","MAHARASHTRA","SOLAPUR","MADHA","2019-01-01T15:39:28.777"
"0","HORTICULTURE","Vegetables","Onion","	Plant Protection	","MAHARASHTRA","SOLAPUR","KARMALA","2019-01-01T15:47:25.18"
"0","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","Varieties","MAHARASHTRA","SOLAPUR","AKKALKOT","2019-01-01T15:52:35.78"
"0","HORTICULTURE","Vegetables","Onion","Market Information","MAHARASHTRA","SOLAPUR","SOLAPUR NORTH","2019-01-01T15:52:52.05"
"0","AGRICULTURE","Others","Others","Weather","MAHARASHTRA","SOLAPUR","AKKALKOT","2019-01-01T15:56:11.423"
"0","AGRICULTURE","Others","Others","Market Information","MAHARASHTRA","SOLAPUR","SOLAPUR NORTH","2019-01-01T16:02:30.947"
"0","AGRICULTURE","Fruits","0","Market Information","MAHARASHTRA","SOLAPUR","PANDHARPUR","2019-01-01T16:08:31.967"
"0","AGRICULTURE","Others","Others","Weather","MAHARASHTRA","SOLAPUR","SANGOLA","2019-01-01T16:09:48.597"
"0","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","MAHARASHTRA","SOLAPUR","MOHOL","2019-01-01T16:16:43.533"
"0","AGRICULTURE","Others","Others","Weather","MAHARASHTRA","SOLAPUR","SANGOLA","2019-01-01T16:23:27.267"
"0","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","MAHARASHTRA","SOLAPUR","MOHOL","2019-01-01T16:27:09.85"
"0","AGRICULTURE","Others","Others","Government Schemes","MAHARASHTRA","SOLAPUR","BARSHI","2019-01-01T16:48:50.307"
"0","HORTICULTURE","Fruits","Musk Melon","Cultural Practices","MAHARASHTRA","SOLAPUR","MADHA","2019-01-01T17:02:50.35"
"0","HORTICULTURE","Fruits","Musk Melon","Fertilizer Use and Availability","MAHARASHTRA","SOLAPUR","MADHA","2019-01-01T17:02:53.983"
"0","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","MAHARASHTRA","SOLAPUR","PANDHARPUR","2019-01-01T17:17:20.593"
"0","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Fertilizer Use and Availability","MAHARASHTRA","SOLAPUR","KARMALA","2019-01-01T17:19:06.163"
"0","HORTICULTURE","Fruits","Musk Melon","Bio-Pesticides and Bio-Fertilizers","MAHARASHTRA","SOLAPUR","MANGALVEDHE","2019-01-01T17:19:22.387"
