"Season","Sector","Category","Crop","QueryType","StateName","DistrictName","BlockName","CreatedOn"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","JHUNIR","2019-01-01T10:17:47.63"
"0","AGRICULTURE","Cereals","Wheat","Nutrient Management","PUNJAB","MANSA","MANSA","2019-01-01T10:41:17.38"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","JHUNIR","2019-01-01T10:46:42.023"
"0","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","PUNJAB","MANSA","MANSA","2019-01-01T10:55:15.1"
"0","AGRICULTURE","Fodder Crops","Barseem","Cultural Practices","PUNJAB","MANSA","BHIKHI","2019-01-01T11:13:59.473"
"0","AGRICULTURE","Cereals","Wheat","Weed Management","PUNJAB","MANSA","JHUNIR","2019-01-01T11:35:57.29"
"0","AGRICULTURE","Cereals","Wheat","Cultural Practices","PUNJAB","MANSA","SARDULGARH","2019-01-01T11:45:57.98"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","MANSA","2019-01-01T11:53:45.21"
"0","AGRICULTURE","Cereals","Wheat","Nutrient Management","PUNJAB","MANSA","MANSA","2019-01-01T11:54:33.943"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","BUDHLADA","2019-01-01T11:57:06.53"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","JHUNIR","2019-01-01T11:58:43.343"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","BUDHLADA","2019-01-01T12:01:52.67"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","BUDHLADA","2019-01-01T12:03:06.32"
"0","AGRICULTURE","Cereals","Wheat","Weed Management","PUNJAB","MANSA","MANSA","2019-01-01T12:03:58.5"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","JHUNIR","2019-01-01T12:04:06.583"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","SARDULGARH","2019-01-01T12:11:28.15"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","BUDHLADA","2019-01-01T12:13:35.633"
"0","HORTICULTURE","Vegetables","Potato","	Plant Protection	","PUNJAB","MANSA","BHIKHI","2019-01-01T12:28:21.06"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","MANSA","2019-01-01T12:29:57.483"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","MANSA","2019-01-01T12:50:33.26"
"0","AGRICULTURE","Others","0","Weather","PUNJAB","MANSA","BUDHLADA","2019-01-01T12:50:37.347"
"0","AGRICULTURE","Cereals","Wheat","	Plant Protection	","PUNJAB","MANSA","BHIKHI","2019-01-01T12:52:35.487"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","MANSA","2019-01-01T12:58:58.66"
"0","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","PUNJAB","MANSA","MANSA","2019-01-01T12:59:44.65"
"0","AGRICULTURE","Others","0","Weather","PUNJAB","MANSA","BUDHLADA","2019-01-01T13:30:37.433"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","SARDULGARH","2019-01-01T13:39:16.22"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","MANSA","2019-01-01T13:46:43.963"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","JHUNIR","2019-01-01T13:50:09.81"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","SARDULGARH","2019-01-01T13:56:21.47"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","SARDULGARH","2019-01-01T13:57:15.43"
"0","AGRICULTURE","Others","0","Weather","PUNJAB","MANSA","BUDHLADA","2019-01-01T14:14:06.33"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","BUDHLADA","2019-01-01T14:27:05.337"
"0","AGRICULTURE","Cereals","Wheat","Nutrient Management","PUNJAB","MANSA","BUDHLADA","2019-01-01T14:41:47.513"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","JHUNIR","2019-01-01T14:54:17.857"
"0","AGRICULTURE","Others","0","Weather","PUNJAB","MANSA","MANSA","2019-01-01T15:15:43.817"
"0","AGRICULTURE","Others","0","Weather","PUNJAB","MANSA","MANSA","2019-01-01T15:15:44.19"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","BUDHLADA","2019-01-01T15:18:10.693"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","BUDHLADA","2019-01-01T15:34:24.323"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","MANSA","2019-01-01T15:48:00.263"
"0","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","PUNJAB","MANSA","JHUNIR","2019-01-01T15:49:10.263"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","BHIKHI","2019-01-01T15:57:11.11"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","JHUNIR","2019-01-01T16:05:05.327"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","BUDHLADA","2019-01-01T16:08:05.04"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","JHUNIR","2019-01-01T16:17:46.743"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","JHUNIR","2019-01-01T16:18:09.35"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","BHIKHI","2019-01-01T16:19:59.05"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","SARDULGARH","2019-01-01T16:43:30.937"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","MANSA","2019-01-01T16:59:39.963"
"0","AGRICULTURE","Cereals","Wheat","Weed Management","PUNJAB","MANSA","BHIKHI","2019-01-01T17:07:52.45"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","SARDULGARH","2019-01-01T17:17:18.24"
"0","AGRICULTURE","Cereals","Wheat","Nutrient Management","PUNJAB","MANSA","SARDULGARH","2019-01-01T17:21:27.797"
"0","AGRICULTURE","Cereals","Wheat","Nutrient Management","PUNJAB","MANSA","SARDULGARH","2019-01-01T17:21:46.72"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","BUDHLADA","2019-01-01T17:24:50.43"
"0","AGRICULTURE","Cereals","Wheat","Weed Management","PUNJAB","MANSA","BUDHLADA","2019-01-01T17:42:08.533"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","BUDHLADA","2019-01-01T17:58:37.09"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","BUDHLADA","2019-01-01T20:00:18.893"
"0","AGRICULTURE","Others","Others","Market Information","PUNJAB","MANSA","JHUNIR","2019-01-01T20:35:29.827"
"0","AGRICULTURE","Others","Others","Market Information","PUNJAB","MANSA","JHUNIR","2019-01-01T20:37:15.863"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","MANSA","2019-01-02T06:57:11.427"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","JHUNIR","2019-01-02T07:34:02.983"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","JHUNIR","2019-01-02T08:11:05.803"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","BUDHLADA","2019-01-02T09:09:12.787"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","MANSA","2019-01-02T09:13:37.21"
"0","AGRICULTURE","Cereals","Wheat","	Plant Protection	","PUNJAB","MANSA","BHIKHI","2019-01-02T09:28:56.19"
"0","AGRICULTURE","Others","0","Weather","PUNJAB","MANSA","BHIKHI","2019-01-02T09:30:22.727"
"0","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","PUNJAB","MANSA","BUDHLADA","2019-01-02T10:04:28.017"
"0","AGRICULTURE","Cereals","Wheat","Weed Management","PUNJAB","MANSA","SARDULGARH","2019-01-02T10:26:04.803"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","BUDHLADA","2019-01-02T10:28:16.22"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","JHUNIR","2019-01-02T10:54:57.353"
"0","AGRICULTURE","Others","Others","Training and Exposure Visits","PUNJAB","MANSA","SARDULGARH","2019-01-02T11:52:34.857"
"0","AGRICULTURE","Fodder Crops","Barseem","Nutrient Management","PUNJAB","MANSA","SARDULGARH","2019-01-02T12:10:58.453"
"0","AGRICULTURE","Others","0","Weather","PUNJAB","MANSA","MANSA","2019-01-02T12:38:46.23"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","BUDHLADA","2019-01-02T12:56:09.42"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","SARDULGARH","2019-01-02T13:15:50.097"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","MANSA","JHUNIR","2019-01-02T13:30:48.92"
"0","AGRICULTURE","Cereals","Wheat","Cultural Practices","PUNJAB","MANSA","JHUNIR","2019-01-02T14:35:29.973"
"0","AGRICULTURE","Cereals","Wheat","Nutrient Management","PUNJAB","MANSA","BUDHLADA","2019-01-02T14:51:22.76"
"0","AGRICULTURE","Others","0","Weather","PUNJAB","MANSA","JHUNIR","2019-01-02T15:02:50.45"
"0","AGRICULTURE","Cereals","Wheat","Weed Management","PUNJAB","MANSA","MANSA","2019-01-02T15:08:32.033"
"0","AGRICULTURE","Cereals","Wheat","Weed Management","PUNJAB","MANSA","MANSA","2019-01-02T15:11:00.033"
"0","AGRICULTURE","Cereals","Wheat","	Plant Protection	","PUNJAB","MANSA","MANSA","2019-01-02T15:22:52.577"
