"Season","Sector","Category","Crop","QueryType","StateName","DistrictName","BlockName","CreatedOn"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","TAMILNADU","VILLUPPURAM","VIKRAVANDI","2019-01-01T08:08:19.243"
"0","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","TAMILNADU","VILLUPPURAM","KALLAKKURICHI","2019-01-01T08:09:13.767"
"0","AGRICULTURE","Others","Others","Government Schemes","TAMILNADU","VILLUPPURAM","VIKRAVANDI","2019-01-01T08:34:54.057"
"0","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","Seeds","TAMILNADU","VILLUPPURAM","GINGEE","2019-01-01T08:52:22.677"
"0","HORTICULTURE","Vegetables","Cowpea (Vegetable)","Nutrient Management","TAMILNADU","VILLUPPURAM","GINGEE","2019-01-01T09:20:30.767"
"0","AGRICULTURE","Others","Others","Seeds","TAMILNADU","VILLUPPURAM","MAILAM","2019-01-01T09:42:23.793"
"0","HORTICULTURE","Vegetables","Bitter Gourd","Nutrient Management","TAMILNADU","VILLUPPURAM","KOLIYANUR","2019-01-01T09:47:10.887"
"0","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TAMILNADU","VILLUPPURAM","MELMALAYANUR","2019-01-01T09:51:19.32"
"0","AGRICULTURE","Others","Others","Weather","TAMILNADU","VILLUPPURAM","OLAKKUR","2019-01-01T09:57:54.99"
"0","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","TAMILNADU","VILLUPPURAM","ULUNDURPET","2019-01-01T10:04:10.24"
"0","HORTICULTURE","Condiments and Spices","Coriander","Nutrient Management","TAMILNADU","VILLUPPURAM","VANUR","2019-01-01T10:22:57.703"
"0","AGRICULTURE","Others","Others","Weather","TAMILNADU","VILLUPPURAM","VIKRAVANDI","2019-01-01T10:27:11.097"
"0","HORTICULTURE","Fruits","Banana","	Plant Protection	","TAMILNADU","VILLUPPURAM","GINGEE","2019-01-01T10:46:03.507"
"0","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","TAMILNADU","VILLUPPURAM","VIKRAVANDI","2019-01-01T11:03:17.93"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","TAMILNADU","VILLUPPURAM","THIRUVENNAINALLUR","2019-01-01T11:09:55.393"
"0","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Nutrient Management","TAMILNADU","VILLUPPURAM","RISHIVANDIAM","2019-01-01T11:34:28.447"
"0","HORTICULTURE","Vegetables","Onion","	Plant Protection	","TAMILNADU","VILLUPPURAM","KALRAYANHILLS","2019-01-01T12:09:54.763"
"0","AGRICULTURE","Others","Others","Seeds","TAMILNADU","VILLUPPURAM","KALLAKKURICHI","2019-01-01T12:18:00.4"
"0","AGRICULTURE","Others","Others","Agriculture Mechanization","TAMILNADU","VILLUPPURAM","MARAKKANAM","2019-01-01T12:36:01.14"
"0","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","TAMILNADU","VILLUPPURAM","KANAI","2019-01-01T13:16:20.383"
"0","AGRICULTURE","Pulses","Black Gram (urd bean)","Nutrient Management","TAMILNADU","VILLUPPURAM","KANDAMANGALAM","2019-01-01T13:46:20.437"
"0","AGRICULTURE","Millets","Maize (Makka)","Nutrient Management","TAMILNADU","VILLUPPURAM","SANKARAPURAM","2019-01-01T13:59:19.657"
"0","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Fertilizer Use and Availability","TAMILNADU","VILLUPPURAM","CHINNASALEM","2019-01-01T14:24:35.653"
"0","AGRICULTURE","Others","Others","Weather","TAMILNADU","VILLUPPURAM","MELMALAYANUR","2019-01-01T14:47:39.987"
"0","AGRICULTURE","Others","Others","Cultural Practices","TAMILNADU","VILLUPPURAM","VIKRAVANDI","2019-01-01T15:38:48.98"
"0","HORTICULTURE","Plantation Crops","Sandal Wood","Cultural Practices","TAMILNADU","VILLUPPURAM","THIRUVENNAINALLUR","2019-01-01T15:51:27.623"
"0","AGRICULTURE","Pulses","Black Gram (urd bean)","Nutrient Management","TAMILNADU","VILLUPPURAM","SANKARAPURAM","2019-01-01T15:52:06.14"
"0","AGRICULTURE","Others","Others","Weather","TAMILNADU","VILLUPPURAM","MELMALAYANUR","2019-01-01T16:36:55.033"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","TAMILNADU","VILLUPPURAM","TIRUNAVALUR","2019-01-01T16:44:29.11"
"0","HORTICULTURE","Vegetables","Cowpea (Vegetable)","	Plant Protection	","TAMILNADU","VILLUPPURAM","TIRUNAVALUR","2019-01-01T16:46:48.233"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","TAMILNADU","VILLUPPURAM","KALRAYANHILLS","2019-01-01T16:51:09.18"
