"Season","Sector","Category","Crop","QueryType","StateName","DistrictName","BlockName","CreatedOn"
"0","AGRICULTURE","Cereals","Wheat","Weed Management","UTTAR PRADESH","LUCKNOW","MAL","2019-01-01T10:02:44.89"
"0","AGRICULTURE","Cereals","Wheat","	Plant Protection	","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR","2019-01-01T10:17:42.483"
"0","HORTICULTURE","Fruits","Guava","	Plant Protection	","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR","2019-01-01T13:20:37.71"
"0","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","UTTAR PRADESH","LUCKNOW","GOSAIGANJ","2019-01-01T13:47:11.793"
"0","AGRICULTURE","Others","Others","Government Schemes","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-01T13:58:35.68"
"0","AGRICULTURE","Cereals","Wheat","	Plant Protection	","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR","2019-01-01T15:23:19.143"
"0","HORTICULTURE","Vegetables","Potato","	Plant Protection	","UTTAR PRADESH","LUCKNOW","MAL","2019-01-01T15:51:52.753"
"0","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Disease Management","UTTAR PRADESH","LUCKNOW","KAKORI","2019-01-01T17:20:53.243"
"0","AGRICULTURE","Others","Others","Government Schemes","UTTAR PRADESH","LUCKNOW","MOHANLALGANJ","2019-01-01T17:33:04.55"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-02T08:09:14.137"
"0","HORTICULTURE","Condiments and Spices","Garlic","	Plant Protection	","UTTAR PRADESH","LUCKNOW","GOSAIGANJ","2019-01-02T08:15:53.063"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-02T08:43:56.627"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","GOSAIGANJ","2019-01-02T09:01:51.033"
"0","HORTICULTURE","Fruits","Banana","Nutrient Management","UTTAR PRADESH","LUCKNOW","MALIHABAD","2019-01-02T09:02:24.433"
"0","HORTICULTURE","Vegetables","Brinjal","Cultural Practices","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR","2019-01-02T09:22:21.91"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","MAL","2019-01-02T09:27:27.923"
"0","HORTICULTURE","Condiments and Spices","Garlic","	Plant Protection	","UTTAR PRADESH","LUCKNOW","MOHANLALGANJ","2019-01-02T09:29:29.263"
"0","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-02T10:34:00.067"
"0","HORTICULTURE","Vegetables","Potato","	Plant Protection	","UTTAR PRADESH","LUCKNOW","MOHANLALGANJ","2019-01-02T10:53:10.163"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR","2019-01-02T12:11:31.353"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-02T12:26:24.53"
"0","HORTICULTURE","Vegetables","Ridge Gourd","Cultural Practices","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR","2019-01-02T13:20:41.587"
"0","HORTICULTURE","Medicinal and Aromatic Plants","Mentha","Cultural Practices","UTTAR PRADESH","LUCKNOW","MAL","2019-01-02T14:30:39.9"
"0","AGRICULTURE","Cereals","Wheat","Weed Management","UTTAR PRADESH","LUCKNOW","MOHANLALGANJ","2019-01-02T15:10:25.37"
"0","HORTICULTURE","Fruits","0","	Plant Protection	","UTTAR PRADESH","LUCKNOW","KAKORI","2019-01-02T15:12:36.21"
"0","HORTICULTURE","Fruits","Guava","Weather","UTTAR PRADESH","LUCKNOW","MALIHABAD","2019-01-02T16:19:14.857"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR","2019-01-02T17:19:46.73"
"0","AGRICULTURE","Cereals","Wheat","Weed Management","UTTAR PRADESH","LUCKNOW","MALIHABAD","2019-01-02T17:31:35.7"
"0","HORTICULTURE","Vegetables","Potato","	Plant Protection	","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-02T18:42:13.79"
"0","HORTICULTURE","Vegetables","Onion","	Plant Protection	","UTTAR PRADESH","LUCKNOW","MAL","2019-01-02T19:15:45.977"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-02T20:06:30.32"
"0","HORTICULTURE","Medicinal and Aromatic Plants","Mentha","Seeds and Planting Material","UTTAR PRADESH","LUCKNOW","GOSAIGANJ","2019-01-02T21:12:34.163"
"0","AGRICULTURE","Others","Others","Soil Health Card","UTTAR PRADESH","LUCKNOW","MAL","2019-01-03T06:20:28.99"
"0","HORTICULTURE","Medicinal and Aromatic Plants","Mentha","Cultural Practices","UTTAR PRADESH","LUCKNOW","MAL","2019-01-03T07:04:07.857"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-03T07:33:38.94"
"0","AGRICULTURE","Others","0","Weather","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-03T08:45:13.367"
"0","AGRICULTURE","Cereals","Wheat","	Plant Protection	","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-03T11:41:04.56"
"0","HORTICULTURE","Vegetables","Potato","	Plant Protection	","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-03T12:00:57.727"
"0","HORTICULTURE","Condiments and Spices","Cardamom","Seeds and Planting Material","UTTAR PRADESH","LUCKNOW","MALIHABAD","2019-01-03T13:52:29.197"
"0","ANIMAL HUSBANDRY","Animal","Buffel Grass (Anjan Grass)","Dairy Production","UTTAR PRADESH","LUCKNOW","GOSAIGANJ","2019-01-03T19:08:41.81"
"0","AGRICULTURE","Cereals","Wheat","Weed Management","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-04T08:27:47.937"
"0","HORTICULTURE","Vegetables","Potato","	Plant Protection	","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-04T08:31:49.35"
"0","AGRICULTURE","Others","Paddy (Dhan)","Market Information","UTTAR PRADESH","LUCKNOW","GOSAIGANJ","2019-01-04T11:38:55.493"
"0","HORTICULTURE","Vegetables","Ridge Gourd","Seeds and Planting Material","UTTAR PRADESH","LUCKNOW","MAL","2019-01-04T12:54:51.897"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-04T14:36:27.483"
"0","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","UTTAR PRADESH","LUCKNOW","KAKORI","2019-01-04T15:12:22.18"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","GOSAIGANJ","2019-01-04T15:33:30.07"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","MAL","2019-01-04T18:04:57.447"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","MAL","2019-01-04T18:06:36.443"
"0","HORTICULTURE","Vegetables","Mushroom","Seeds and Planting Material","UTTAR PRADESH","LUCKNOW","MOHANLALGANJ","2019-01-04T19:06:10.717"
"0","HORTICULTURE","Vegetables","Potato","	Plant Protection	","UTTAR PRADESH","LUCKNOW","MAL","2019-01-04T19:25:43.11"
"0","HORTICULTURE","Vegetables","Potato","	Plant Protection	","UTTAR PRADESH","LUCKNOW","MAL","2019-01-04T19:49:40.953"
"0","AGRICULTURE","Cereals","Wheat","Nutrient Management","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR","2019-01-05T06:28:37.41"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR","2019-01-05T07:35:06.493"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-05T08:07:47.667"
"0","AGRICULTURE","Oilseeds","Mustard","Weed Management","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-05T08:16:36.5"
"0","AGRICULTURE","Others","Others","Agriculture Mechanization","UTTAR PRADESH","LUCKNOW","MOHANLALGANJ","2019-01-05T08:56:20.033"
"0","AGRICULTURE","Cereals","Wheat","Weed Management","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR","2019-01-05T09:26:45.21"
"0","AGRICULTURE","Cereals","Wheat","Nutrient Management","UTTAR PRADESH","LUCKNOW","MOHANLALGANJ","2019-01-05T09:28:17.143"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","MOHANLALGANJ","2019-01-05T10:58:15.04"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","MOHANLALGANJ","2019-01-05T12:16:50.783"
"0","HORTICULTURE","Flowers","Marigold","	Plant Protection	","UTTAR PRADESH","LUCKNOW","KAKORI","2019-01-05T12:16:57.023"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","MAL","2019-01-05T13:18:19.857"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","MOHANLALGANJ","2019-01-05T13:25:38.91"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-05T13:25:53.123"
"0","AGRICULTURE","0","0","Weather","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR","2019-01-05T14:36:20.92"
"0","AGRICULTURE","Cereals","Wheat","	Plant Protection	","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR","2019-01-05T14:53:49.587"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-05T15:04:41.023"
"0","HORTICULTURE","Vegetables","Bitter Gourd","Power, Roads etc.","UTTAR PRADESH","LUCKNOW","MOHANLALGANJ","2019-01-05T15:14:24.427"
"0","AGRICULTURE","Cereals","Wheat","Weed Management","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-05T15:22:54.26"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","GOSAIGANJ","2019-01-05T15:56:27.163"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-05T16:42:34.743"
"0","AGRICULTURE","Cereals","Wheat","Weed Management","UTTAR PRADESH","LUCKNOW","MOHANLALGANJ","2019-01-05T17:32:24.16"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","MOHANLALGANJ","2019-01-05T17:44:34.427"
"0","AGRICULTURE","Pulses","0","Post Harvest Preservation","UTTAR PRADESH","LUCKNOW","GOSAIGANJ","2019-01-05T19:04:06.527"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-05T19:08:52.633"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","MAL","2019-01-05T19:09:54.443"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","GOSAIGANJ","2019-01-05T20:22:28.573"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","GOSAIGANJ","2019-01-05T21:29:52.803"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","MAL","2019-01-06T07:15:21.113"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-06T08:18:26.253"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-06T09:07:41.99"
"0","FISHERIES","Inland","Brackish","Water Testing for Fish Production","UTTAR PRADESH","LUCKNOW","MOHANLALGANJ","2019-01-06T09:13:35.307"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","MOHANLALGANJ","2019-01-06T09:42:08.31"
"0","AGRICULTURE","Cereals","Wheat","	Plant Protection	","UTTAR PRADESH","LUCKNOW","CHINHAT","2019-01-06T11:27:58.807"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-06T12:01:26.357"
"0","AGRICULTURE","Others","Others","Training and Exposure Visits","UTTAR PRADESH","LUCKNOW","0   ","2019-01-06T12:13:42.02"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","GOSAIGANJ","2019-01-06T12:36:23.033"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","GOSAIGANJ","2019-01-06T12:46:13.45"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-06T13:27:19.273"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-06T13:43:22.933"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-06T14:10:33.833"
"0","HORTICULTURE","Vegetables","Potato","	Plant Protection	","UTTAR PRADESH","LUCKNOW","MAL","2019-01-06T14:40:02.467"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","MAL","2019-01-06T14:47:57.917"
"0","AGRICULTURE","Others","0","Weather","UTTAR PRADESH","LUCKNOW","MAL","2019-01-06T15:34:15.53"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-06T16:23:23.997"
"0","HORTICULTURE","Vegetables","Potato","Cultural Practices","UTTAR PRADESH","LUCKNOW","MAL","2019-01-06T16:51:52.507"
"0","AGRICULTURE","Cereals","Wheat","Varieties","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR","2019-01-06T17:11:10.14"
"0","AGRICULTURE","Cereals","Wheat","	Plant Protection	","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-06T17:18:59.91"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR","2019-01-06T19:18:35.397"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-06T20:20:08.417"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","GOSAIGANJ","2019-01-06T20:52:52.913"
"0","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","UTTAR PRADESH","LUCKNOW","GOSAIGANJ","2019-01-06T20:54:39.713"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-07T08:01:30.433"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR","2019-01-07T08:41:12.33"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR","2019-01-07T08:45:04.71"
"0","HORTICULTURE","Vegetables","Potato","	Plant Protection	","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-07T10:10:32.113"
"0","HORTICULTURE","Fruits","Mango","0","UTTAR PRADESH","LUCKNOW","MAL","2019-01-07T10:38:45.133"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","MAL","2019-01-07T10:55:31.43"
"0","AGRICULTURE","Others","Others","Government Schemes","UTTAR PRADESH","LUCKNOW","MAL","2019-01-07T11:10:57.79"
"0","HORTICULTURE","Vegetables","Pea (Vegetable)","Nutrient Management","UTTAR PRADESH","LUCKNOW","MOHANLALGANJ","2019-01-07T11:22:17.353"
"0","HORTICULTURE","Fruits","Banana","	Plant Protection	","UTTAR PRADESH","LUCKNOW","MALIHABAD","2019-01-07T12:06:59.54"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-07T13:35:10.417"
"0","HORTICULTURE","Fruits","Mango","	Plant Protection	","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR","2019-01-07T15:30:09.233"
"0","HORTICULTURE","Fruits","Mango","	Plant Protection	","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR","2019-01-07T15:51:41.883"
"0","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","UTTAR PRADESH","LUCKNOW","GOSAIGANJ","2019-01-07T16:00:08.76"
"0","HORTICULTURE","Fruits","Mango","Nutrient Management","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR","2019-01-07T16:00:26.777"
"0","AGRICULTURE","Cereals","Wheat","Nutrient Management","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR","2019-01-07T16:25:25.83"
"0","HORTICULTURE","Fruits","Banana","	Plant Protection	","UTTAR PRADESH","LUCKNOW","MALIHABAD","2019-01-07T16:57:24.947"
"0","HORTICULTURE","Fruits","Papaya","Vegetative Propagation and Tissue Culture","UTTAR PRADESH","LUCKNOW","MAL","2019-01-07T17:03:51.787"
"0","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR","2019-01-07T17:29:56.07"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-07T18:55:10.167"
"0","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Disease Management","UTTAR PRADESH","LUCKNOW","MALIHABAD","2019-01-07T20:32:24.577"
"0","AGRICULTURE","Others","Others","Crop Insurance","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-07T20:36:02.357"
"0","AGRICULTURE","Cereals","Wheat","Weed Management","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-08T10:35:14.927"
"0","HORTICULTURE","Vegetables","Potato","	Plant Protection	","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-08T11:30:30.39"
"0","HORTICULTURE","Vegetables","Potato","	Plant Protection	","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-01-08T11:44:00.887"
"0","AGRICULTURE","Others","Others","Weather","UTTAR PRADESH","LUCKNOW","MALIHABAD","2019-01-08T11:51:27.74"
